paso,tipo,scope,page,row,campo,valor_original,valor_final,motivo,fuente
2.3,confirmacion_verbatim,fila,v3_p02,909,localidad,Atilio Pesagno,,lectura verbatim correcta; grafia 1960 difiere de la moderna; oficial via Georef Paso 3,humano (Jose) + imagen-rezoom
2.3,confirmacion_verbatim,fila,v3_p19,389,localidad,Roosvelt,,lectura verbatim correcta; grafia 1960 difiere de la moderna; oficial via Georef Paso 3,humano (Jose) + imagen-rezoom
2.3,confirmacion_verbatim,fila,v3_p22,262,localidad,Villa Gessell,,lectura verbatim correcta; grafia 1960 difiere de la moderna; oficial via Georef Paso 3,humano (Jose) + imagen-rezoom
2.3,confirmacion_verbatim,fila,v3_p22,364,localidad,Villa Sauce,,lectura verbatim correcta; grafia 1960 difiere de la moderna; oficial via Georef Paso 3,humano (Jose) + imagen-rezoom
2.3,confirmacion_verbatim,fila,v3_p17,882,localidad,Pehuenco,,lectura verbatim correcta; grafia 1960 difiere de la moderna; oficial via Georef Paso 3,humano (Jose) + imagen-rezoom
2.3,confirmacion_verbatim,fila,v3_p11,404,localidad,Juan E. Barra,,lectura verbatim correcta; grafia 1960 difiere de la moderna; oficial via Georef Paso 3,humano (Jose) + imagen-rezoom
2.3,confirmacion_verbatim,fila,v3_p17,843,localidad,Paso Mayer,,lectura verbatim correcta; grafia 1960 difiere de la moderna; oficial via Georef Paso 3,humano (Jose) + imagen-rezoom
2.3,correccion_lectura,fila,v3_p06,564,localidad,Denhny,Dennhy,Jose lee 'Dennhy' inambiguo; censo='Dennhy'; hoy Marcelino Ugarte (a.k.a. Dennehy) -> Georef Paso 3,humano (Jose)
2.3,confirmacion_incierta,fila,v3_p14,598,localidad,Lia Calel,,lectura incierta; Jose lee 'Lia'; Wikipedia tiene 'Lin Calel'; resolver con Georef en Paso 3,humano (Jose)
1B,unificacion,depto,,,departamento,Cura-Co,Cura-Có,unifica variante (cluster CURACO),humano (Jose)
1B,unificacion,depto,,,departamento,Leventué,Loventué,unifica variante e/o (mismo depto),humano (Jose)
1B,unificacion,depto,,,departamento,Gral. Juan Madariaga,General Juan Madariaga,unifica 3 grafias del partido Madariaga,humano (Jose)
1B,unificacion,depto,,,departamento,General J. Madariaga,General Juan Madariaga,unifica 3 grafias del partido Madariaga,humano (Jose)
1B,unificacion,depto,,,departamento,General Madariaga,General Juan Madariaga,unifica 3 grafias del partido Madariaga,humano (Jose)
1B,expansion_abreviatura,depto,,,departamento,Cnel. de Mar. L.N.Rosales,Coronel de Marina Leonardo Rosales,expansion canonica; alias comun 'Coronel Rosales',humano (Jose)
1B,footnote2_depto,fila,v3_p11,217,departamento,,Isla Martín García,footnote 2 'se considero como Partido' -> depto = nombre propio,humano (Jose)
1B,footnote2_depto,fila,v3_p18,45,departamento,,Puerto de la Plata,footnote 2 'se considero como Partido' -> depto = nombre propio,humano (Jose)
1B,anomalia,fila,v3_p12,482,provincia,La Pampa,,Caseros no es depto de La Pampa; prob. La Larga en Daireaux/Caseros (BA); RESOLVER en Paso 3 (Georef); crudo verbatim,humano (Jose)
1B,unificacion,depto,,,departamento,Río Senguerr,Río Senguer,unifica variante rr/r (mismo depto Chubut),humano (Jose)
1B,unificacion,depto,,,departamento,Pichi-Mahuída,Pichi-Mahuida,unifica variante acento (mismo depto Río Negro),humano (Jose)
1B,unificacion,depto,,,departamento,Caldera,La Caldera,unifica variante La- (mismo depto Salta),humano (Jose)
1B,unificacion,depto,,,departamento,Venticinco de Mayo,Veinticinco de Mayo,unifica misprint (falta i) (San Juan),humano (Jose)
1B,unificacion,depto,,,departamento,Iglesias,Iglesia,unifica variante s (mismo depto San Juan),humano (Jose)
1B,unificacion,depto,,,departamento,Corpen-Aike,Corpen Aike,unifica variante guion/espacio (Santa Cruz),humano (Jose)
1B,unificacion,depto,,,departamento,General Gordillo,Gobernador Gordillo,unifica; mismo depto (cap. Chamical); Levenshtein>2 no lo detecta,humano (Jose)
2.3,correccion_lectura,fila,v7_p03,65,varones,1092,1091,varones mal leido; imagen=1.091 (1091+1097=2188),humano (Jose) + imagen-rezoom
2.3,correccion_lectura,fila,v7_p08,38,varones,2018,2038,varones mal leido; imagen=2.038 (2038+2087=4125),humano (Jose) + imagen-rezoom
2.3,correccion_lectura,fila,v4_p11,388,mujeres,455,465,mujeres mal leido; imagen=465 (592+465=1057),humano (Jose) + imagen-rezoom
2.3,correccion_lectura,fila,v4_p17,41,total,7890,7880,total mal leido; imagen=7.880 (3946+3934=7880),humano (Jose) + imagen-rezoom
2.3,confirmacion_verbatim,fila,v4_p08,130,localidad,Irivilli,,"lectura verbatim correcta (imagen: Irivill+glifo final ambiguo, NO Inriville); grafia 1960 difiere de la moderna Inriville; oficial via Georef Paso 3",humano (Jose) + imagen-rezoom
2.3,correccion_lectura,fila,v4_p13,52,localidad,Onativo,Oncativo,imagen='Oncativo' (falta la c); typo de transcripcion,humano (Jose) + imagen-rezoom
2.3,correccion_lectura,fila,v4_p14,382,localidad,Pueblo Brito,Pueblo Britos,imagen='Pueblo Britos' (-s final); typo de transcripcion,humano (Jose) + imagen-rezoom
2.3,correccion_lectura,fila,v6_p03,185,localidad,Juncal Grande,Jumial Grande,imagen='Jumial Grande' (localidad real Sgo del Estero); typo de transcripcion,humano (Jose) + imagen-rezoom
2.3,correccion_lectura,fila,v6_p05,120,localidad,Mesón de Pierro,Mesón de Fierro,imagen='Mesón de Fierro' (F; sitio meteorito Campo del Cielo); typo de transcripcion,humano (Jose) + imagen-rezoom
2.3,correccion_lectura,fila,v7_p01,305,localidad,Arároz,Aráoz,imagen='Aráoz' (localidad real Tucumán); crudo duplico una r; typo de transcripcion,humano (Jose) + imagen-rezoom
2.3,correccion_lectura,fila,v7_p07,163,localidad,Muñquín,Mutquín,imagen='Mutquín' (t; localidad real Catamarca); typo de transcripcion,humano (Jose) + imagen-rezoom
2.3,correccion_lectura,fila,v4_p06,558,mujeres,271,275,"mujeres mal leido; imagen borrosa, se infiere 275 (303+275=578)",humano (Jose) + imagen-rezoom
2.3,correccion_lectura,fila,v5_p02,234,mujeres,156,188,"mujeres mal leido; imagen borrosa, se infiere 188 (222+188=410)",humano (Jose) + imagen-rezoom
2.3,correccion_lectura,fila,v5_p06,259,varones,160,180,"varones mal leido; borroso, se infiere 180 (180+153=333); total y mujeres claros",humano (Jose) + imagen-rezoom
2.3,correccion_lectura,fila,v6_p06,202,total,305,385,"total mal leido; borroso, se infiere 385 (157+228=385)",humano (Jose) + imagen-rezoom
2.3,correccion_lectura,fila,v6_p06,140,total,525,625,"total mal leido; borroso, se infiere 625 (337+288=625)",humano (Jose) + imagen-rezoom
2.3,correccion_lectura,fila,v4_p07,313,mujeres,537,637,"mujeres mal leido; borroso, se infiere 637 (712+637=1349); total y varones claros",humano (Jose) + imagen-rezoom
2.3,correccion_lectura,fila,v3_p08,722,localidad,Estomba,Estonba,"imagen='Estonba' (n, no m; verbatim); moderno probable Estomba -> Paso 3; typo de transcripcion",humano (Jose) + imagen-rezoom
2.3,correccion_lectura,fila,v3_p17,602,localidad,Pichi-Huinca,Pichi-Huincha,imagen='Pichi-Huincha' (h antes de a final); typo de transcripcion,humano (Jose) + imagen-rezoom
2.3,correccion_lectura,fila,v3_p21,823,localidad,Trongé,Tronge,imagen='Tronge' (sin tilde); crudo agrego tilde; typo de transcripcion,humano (Jose) + imagen-rezoom
2.3,confirmacion,fila,v4_p05,2,varones,283871,,celda varones ilegible (borroneada); confirmado por derivacion total-mujeres=586015-302144=283871,humano (Jose)
2.3,confirmacion,fila,v7_p07,229,total,587,,total 1er digito borroso; confirmado por derivacion varones+mujeres=284+303=587,humano (Jose)
3.3,correccion_fuente_prov_depto,fila,v9_1_2_p04,16,departamento,Chubut,Biedma,"La fuente 1960 invirtio prov/depto para Puerto Madryn (imprimio Prov=Biedma, Depto=Chubut); correcto prov=Chubut depto=Biedma; Puerto Madryn = cabecera de Biedma","imagen v9_1_2_p04/16 (recorte) + Georef; propuesta image-confirmada, ratificar Jose"
3.3,correccion_fuente_provincia,fila,v3_p12,482,provincia+departamento,La Pampa / Caseros,Buenos Aires / Daireaux,"La Pampa no tiene depto Caseros (fuente primaria CELADE 1960); Caseros = viejo nombre de Daireaux (BA); La Larga existe en BA/Daireaux [06231040], no en La Pampa. Fuente imprimio provincia erronea","imagen v3_p12/482 (recorte) + CELADE + Georef; propuesta image-confirmada, ratificar Jose (cross-provincial)"
3.3b,manual_coord_ambiguo,fila,v3_p18,45,coordenada,flag_sin_match (),"-34.86670,-57.89994","Jose: punto del puerto (-34.8667,-57.8999), ambiguo; los 17338 hab son del cordon Ensenada-Berisso sin reparto documentado",humano (Jose) + Wikipedia https://es.wikipedia.org/wiki/Puerto_La_Plata
3.3b,transferencia_confirmada,fila,v3_p18,76,coordenada,flag_sin_match (),"-38.566113,-58.706181 [0658104002]",transferencia DOCUMENTADA: Decreto-Ley 9327/1979,auto + Wikipedia + Georef https://archivoquequen.blogspot.com/2010/11/el-22-de-mayo-de-1979-quequen-fue.html
3.3b,transferencia_confirmada,fila,v7_p02,23,coordenada,flag_depto (Bella Vista),"-27.0327868,-65.3071201 [90056010]",transferencia DOCUMENTADA: Ley provincial 4518 (1976),"auto + Wikipedia (Bella Vista, Tucuman) + Georef https://es.wikipedia.org/wiki/Anexo:Departamentos_de_la_provincia_de_Tucum%C3%A1n"
3.3b,correccion_fuente_depto,fila,v4_p17,57,coordenada,flag_depto (Santa Teresa),"-33.43665,-60.79046","Jose: image-check confirmo artefacto de fuente; depto 1960 impreso Iriondo es erroneo, correcto Constitucion",humano (Jose) + Wikipedia + Georef https://es.wikipedia.org/wiki/Santa_Teresa_(Santa_Fe)
3.3b,transferencia_confirmada,fila,v7_p11,33,coordenada,flag_depto (Yerba Buena),"-26.816042,-65.292538 [90119030]",transferencia DOCUMENTADA: Ley provincial 4518 (1976),auto + Georef + Wikipedia https://es.wikipedia.org/wiki/Anexo:Departamentos_de_la_Provincia_de_Tucum%C3%A1n
3.3b,manual_coord,fila,v8_p01,44,coordenada,flag_depto (Alto de Sierra),"-31.53694,-68.42000",guard=verde (coord en conjunto permitido),auto + Wikipedia https://es.wikipedia.org/wiki/Alto_de_Sierra_(Santa_Luc%C3%ADa)
3.3b,rename,fila,v3_p11,193,coordenada,flag_sin_match (),"-38.67726,-61.08618 [06189040]",guard=verde (coord en conjunto permitido),auto + Wikipedia + Georef https://es.wikipedia.org/wiki/El_Perdido
3.3b,manual_coord,fila,v3_p11,217,coordenada,flag_sin_match (),"-34.1825,-58.25",guard=verde (coord en conjunto permitido),auto + Wikipedia https://es.wikipedia.org/wiki/Isla_Mart%C3%ADn_Garc%C3%ADa
3.3b,rename,fila,v3_p12,222,coordenada,flag_sin_match (),"-38.2830519,-59.2027438 [06581050]",guard=verde (coord en conjunto permitido),auto + Georef + Wikipedia (Nicanor Olivera) https://apis.datos.gob.ar/georef/api/localidades?nombre=Nicanor%20Olivera&provincia=Buenos%20Aires
3.3b,rename,fila,v8_p05,77,coordenada,flag_depto (Villa del Salvador),"-31.45327,-68.40376 [70014020]",guard=verde (coord en conjunto permitido),auto + Wikipedia + Georef https://es.wikipedia.org/wiki/Villa_El_Salvador_(San_Juan)
3.3b,transferencia_confirmada,fila,v7_p08,105,coordenada,flag_depto (Río Colorado),"-27.148606,-65.35695 [90056060]",transferencia DOCUMENTADA: Ley provincial 4518 (1976),auto + Georef + Wikipedia https://es.wikipedia.org/wiki/Anexo:Departamentos_de_la_provincia_de_Tucum%C3%A1n
3.3b,rename,fila,v4_p15,321,coordenada,flag_depto (San Bartolome),"-31.52791,-62.72370 [14140110]",guard=verde (coord en conjunto permitido),auto + Georef + Wikipedia https://es.wikipedia.org/wiki/Colonia_San_Bartolom%C3%A9
3.3b,rename,fila,v7_p09,114,coordenada,flag_depto (San Antonio),"-28.42576,-65.70838 [1006304005]",guard=verde (coord en conjunto permitido),auto + Georef https://apis.datos.gob.ar/georef/api/localidades?nombre=San%20Antonio&provincia=Catamarca
3.3b,transferencia_limite_declarado,fila,v5_p02,114,coordenada,flag_depto (Dos de Mayo),"-27.019937,-54.684531 [54014030]","Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)",humano (Jose) + Wikipedia + Georef https://es.wikipedia.org/wiki/Dos_de_Mayo_(Misiones)
3.3b,transferencia_confirmada,fila,v5_p03,117,coordenada,flag_depto (Gobernador Racedo),"-31.9791491,-60.4056663 [30021110]",transferencia DOCUMENTADA: Ley provincial 6378 (1979),auto + Georef + Wikipedia/eltiempo/mapcarta https://es.wikipedia.org/wiki/Historia_de_la_organizaci%C3%B3n_territorial_de_Entre_R%C3%ADos
3.3b,manual_coord,fila,v8_p02,109,coordenada,flag_depto (Divisoria),"-31.72032,-68.30388",guard=verde (coord en conjunto permitido),auto + OpenStreetMap/Nominatim + web https://nominatim.openstreetmap.org/search?q=Divisoria+San+Juan+Argentina&format=json
3.3b,transferencia_limite_declarado,fila,v4_p07,419,coordenada,flag_depto (Golondrina),"-28.55654,-60.02271 [82133060]","Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)",humano (Jose) + Georef + Wikipedia https://es.wikipedia.org/wiki/Anexo:Departamentos_de_la_provincia_de_Santa_Fe
3.3b,transferencia_limite_declarado,fila,v5_p01,136,coordenada,flag_sin_match (),"-32.24578,-60.15835 [30077010]","Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)",humano (Jose) + Georef + Wikipedia https://es.wikipedia.org/wiki/Villa_Aranguren
3.3b,transferencia_limite_declarado,fila,v3_p22,349,coordenada,flag_depto (Villars),"-34.82601,-58.93905 [06329040]","Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)",humano (Jose) + Wikipedia + OpenStreetMap https://es.wikipedia.org/wiki/Villars_(Buenos_Aires)
3.3b,transferencia_confirmada,fila,v7_p07,155,coordenada,flag_sin_match (),"-26.848053,-65.281861 [90063020]",transferencia DOCUMENTADA: Ley provincial 4518 (1976),auto + Georef + Wikipedia/todo-argentina https://es.wikipedia.org/wiki/Anexo:Departamentos_de_la_provincia_de_Tucum%C3%A1n
3.3b,transferencia_limite_declarado,fila,v4_p10,491,coordenada,flag_depto (Los Amores),"-28.1019746,-59.9798968 [82133100]","Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)",humano (Jose) + Wikipedia (Los Amores) + Georef https://es.wikipedia.org/wiki/Los_Amores
3.3b,rename,fila,v3_p12,418,coordenada,flag_sin_match (),"-34.92159,-59.54223 [06574010]",guard=verde (coord en conjunto permitido),auto + Georef + Wikipedia https://es.wikipedia.org/wiki/Jos%C3%A9_Juan_Almeyra
3.3b,rename,fila,v4_p04,505,coordenada,flag_depto (Colonia Santa Marí­a),"-33.699219,-62.914658 [14182010]",guard=verde (coord en conjunto permitido),auto + Georef + Wikipedia https://es.wikipedia.org/wiki/Aldea_Santa_Mar%C3%ADa_(C%C3%B3rdoba)
3.3b,transferencia_limite_declarado,fila,v7_p07,199,coordenada,flag_depto (Manuel García Fernández),"-26.95570,-65.27207 [90056040]","Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)",humano (Jose) + Georef + Wikipedia https://es.wikipedia.org/wiki/Manuel_Garc%C3%ADa_Fern%C3%A1ndez
3.3b,rename,fila,v4_p11,513,coordenada,flag_depto (Margarita),"-31.68599,-61.64772 [82021110]",guard=verde (coord en conjunto permitido),auto + Georef https://apis.datos.gob.ar/georef/api/localidades?nombre=Margarita&provincia=Santa%20Fe
3.3b,rename,fila,v4_p16,519,coordenada,flag_depto (San Jose),"-30.356269,-63.950293 [14175080]",guard=verde (coord en conjunto permitido),auto + Georef + citypopulation https://es.wikipedia.org/wiki/San_Jos%C3%A9_de_la_Dormida
3.3b,transferencia_confirmada,fila,v4_p01,524,coordenada,flag_depto (Ana Zumarán),"-32.3905234,-63.0573516 [14182030]",guard=verde (coord en conjunto permitido),auto + Wikipedia (Ana Zumaran) + Georef https://es.wikipedia.org/wiki/Ana_Zumar%C3%A1n
3.3b,rename,fila,v3_p17,455,coordenada,flag_depto (Pavón),"-34.39318,-59.03470 [0626606003]",guard=verde (coord en conjunto permitido),auto + Wikipedia + Georef https://es.wikipedia.org/wiki/Pav%C3%B3n_(Buenos_Aires)
3.3b,transferencia_confirmada,fila,v5_p07,194,coordenada,flag_ambiguo (Tabay),"-28.308136,-58.286866 [18028030]",guard=verde (coord en conjunto permitido),auto + Georef + Wikipedia https://es.wikipedia.org/wiki/Tabay_(Corrientes)
3.3b,transferencia_limite_declarado,fila,v4_p07,572,coordenada,flag_depto (Garabato),"-28.95449,-60.13508 [82133050]","Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)",humano (Jose) + Georef + Wikipedia https://es.wikipedia.org/wiki/Anexo:Departamentos_de_la_provincia_de_Santa_Fe
3.3b,transferencia_limite_declarado,fila,v4_p18,578,coordenada,flag_depto (Tartagal),"-28.67105,-59.84809 [82133150]","Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)",humano (Jose) + Wikipedia + Georef https://es.wikipedia.org/wiki/Tartagal_(Santa_Fe)
3.3b,transferencia_limite_declarado,fila,v4_p08,601,coordenada,flag_depto (Intiyaco),"-28.674866,-60.070701 [82133070]","Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)",humano (Jose) + Georef + Wikipedia/senado Santa Fe https://es.wikipedia.org/wiki/Intiyaco_(Santa_Fe)
3.3b,manual_coord,fila,v7_p09,266,coordenada,flag_depto (San José),"-27.9868939,-67.5938798",guard=verde (coord en conjunto permitido),"auto + Nominatim/OpenStreetMap https://nominatim.openstreetmap.org/search?q=San+Jose,+Tinogasta,+Catamarca&format=json"
3.3b,manual_coord_frontera,fila,v3_p08,558,coordenada,flag_sin_match (),"-36.40887,-61.93402","Jose: aceptar (residuo chico, mismo lugar confirmado por fuente; guard rojo por borde/split)",humano (Jose) + OpenStreetMap/Nominatim + Wikipedia https://es.wikipedia.org/wiki/Estaci%C3%B3n_Enrique_Lavalle
3.3b,manual_coord_frontera,fila,v4_p12,621,coordenada,flag_sin_match (),"-31.343056,-63.944444","Jose: aceptar (residuo chico, mismo lugar confirmado por fuente; guard rojo por borde/split)",humano (Jose) + Wikipedia https://es.wikipedia.org/wiki/Monte_Cristo_(C%C3%B3rdoba)
3.3b,manual_coord,fila,v4_p14,622,coordenada,flag_depto (Punta del Agua),"-31.05170,-63.70070 [14105A39]",guard=verde (coord en conjunto permitido),"auto + Georef asentamientos + Nominatim https://nominatim.openstreetmap.org/search?q=Punta+del+Agua,+Rio+Primero,+Cordoba,+Argentina&format=json"
3.3b,manual_coord,fila,v4_p10,628,coordenada,flag_depto (Las Tapias),"-32.83587,-64.74979",guard=verde (coord en conjunto permitido),"auto + OpenStreetMap/Nominatim + mindat https://nominatim.openstreetmap.org/search?q=Las+Tapias,+Rio+Cuarto,+Cordoba,+Argentina&format=json"
3.3b,manual_coord,fila,v4_p14,631,coordenada,flag_depto (Punta de Agua),"-33.202775,-65.142456",guard=verde (coord en conjunto permitido),auto + OpenStreetMap / Nominatim https://nominatim.openstreetmap.org/lookup?osm_ids=N3559620393&format=json
3.3b,manual_coord,fila,v6_p06,194,coordenada,flag_depto (Santo Domingo),"-29.2531302,-63.9284245",guard=verde (coord en conjunto permitido),"auto + Nominatim/OpenStreetMap https://nominatim.openstreetmap.org/search?q=Santo+Domingo,+Ojo+de+Agua,+Santiago+del+Estero&format=json"
3.3b,manual_coord,fila,v5_p06,251,coordenada,flag_depto (San Antonio),"-29.76755,-57.54712",guard=verde (coord en conjunto permitido),auto + OpenStreetMap/Nominatim + Gobierno de Corrientes https://nominatim.openstreetmap.org/search?q=San+Antonio+Paso+de+los+Libres+Corrientes+Argentina&format=json
3.3b,transferencia_limite_declarado,fila,v4_p18,658,coordenada,flag_depto (Tinoco),"-31.124469,-63.891831 [14021270]","Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)",humano (Jose) + Georef + Wikipedia https://es.wikipedia.org/wiki/Departamento_Col%C3%B3n_(C%C3%B3rdoba)
3.3b,transferencia_limite_declarado,fila,v3_p07,652,coordenada,flag_depto (Energí­a),"-38.55792,-59.34108 [06581030]","Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)",humano (Jose) + Georef + Wikipedia https://es.wikipedia.org/wiki/Energ%C3%ADa_(Buenos_Aires)
3.3b,rename,fila,v3_p23,709,coordenada,flag_sin_match (),"-33.59681,-59.81769 [06770020]",guard=verde (coord en conjunto permitido),auto + Wikipedia + Georef https://es.wikipedia.org/wiki/Obligado_(Buenos_Aires)
3.3b,manual_coord_frontera,fila,v5_p05,291,coordenada,flag_sin_match (),"-30.6983,-58.5825","Jose: aceptar (residuo chico, mismo lugar confirmado por fuente; guard rojo por borde/split)",humano (Jose) + Wikipedia https://es.wikipedia.org/wiki/Estaci%C3%B3n_Mi%C3%B1ones
3.3b,manual_coord,fila,v3_p20,812,coordenada,flag_depto (San José),"-38.1751691,-59.005777",guard=verde (coord en conjunto permitido),"auto + Wikipedia (Estación San José, Roca) https://es.wikipedia.org/wiki/Estaci%C3%B3n_San_Jos%C3%A9_(Roca)"
3.3b,manual_coord,fila,v6_p06,267,coordenada,flag_depto (San Pedro),"-28.31159,-62.25472",guard=verde (coord en conjunto permitido),auto + OpenStreetMap/Nominatim https://nominatim.openstreetmap.org/search?q=San+Pedro+Juan+Felipe+Ibarra+Santiago+del+Estero+Argentina&format=json
3.3b,transferencia_limite_declarado,fila,v3_p02,871,coordenada,flag_depto (Arroyo Dulce),"-34.102433,-60.406155 [06714010]","Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)",humano (Jose) + Georef + Wikipedia https://es.wikipedia.org/wiki/Arroyo_Dulce
3.3b,transferencia_limite_declarado,fila,v3_p17,873,coordenada,flag_depto (Pasteur),"-35.14129,-62.24397 [06469080]","Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)",humano (Jose) + Georef + Wikipedia https://es.wikipedia.org/wiki/Partido_de_Lincoln
3.3b,rename,fila,v7_p10,413,coordenada,flag_depto (Santa Victoria),"-22.27273,-62.71258 [66133100]",guard=verde (coord en conjunto permitido),auto + Wikipedia + Georef https://es.wikipedia.org/wiki/Santa_Victoria_Este
3.3b,transferencia_limite_declarado,fila,v3_p03,909,coordenada,flag_depto (Calderón),"-38.722079,-62.056792 [06182070]","Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)",humano (Jose) + Wikipedia + Georef (candidato) https://es.wikipedia.org/wiki/Calder%C3%B3n_(Buenos_Aires)
